ID,name
ASSOC0037,American College of Emergency Physicians
WATSON PHARMA  INC.,WATSON PHARMA  INC.
CEPHAZONE PHARMA  LLC,CEPHAZONE PHARMA  LLC
8155,Beth Israel Deaconess Medical Center
9254,University Of Alabama (Includes Birmingham And Huntsville)
ASSOC0077,National Institutes of Health
ENDO PHARMACEUTICALS  INC.,ENDO PHARMACEUTICALS  INC.
8648,Iowa State University
AVENTIS PHARMACEUTICALS,AVENTIS PHARMACEUTICALS
Clinical Trial Operations,Clinical Trial Operations
SOLCO HEALTHCARE US  LLC,SOLCO HEALTHCARE US  LLC
9195,Temple University
Department of Education,Department of Education
FERNDALE LABORATORIES INC.,FERNDALE LABORATORIES INC.
GLOBAL PHARMACEUTICAL CORPORATION,GLOBAL PHARMACEUTICAL CORPORATION
BAUSCH & LOMB PHARMACEUTICALS  INC.,BAUSCH & LOMB PHARMACEUTICALS  INC.
ASSOC0081,National Organization for Rare Disorders
GENENTECH,GENENTECH
4216,University Of Western Ontario (Canada) 
Corrie Consulting LLC,Corrie Consulting LLC
9275,University of California - Los Angeles
9535,East Carolina University
9404,University Of Mississippi
TALECRIS BIOTHERAPEUTICS  INC.,TALECRIS BIOTHERAPEUTICS  INC.
DR. REDDY'S LABARATORIES  INC,DR. REDDY'S LABARATORIES  INC
9048,Rockefeller University
9282,University Of Montana
8861,Mount Sinai Medical Center
6966,Sacramento City College
GLAXO SMITHKLINE,GLAXO SMITHKLINE
ASSOC0068,National Board of Medical Examiners
9377,University Of Texas System 
9264,University Of Illinois
7313,Fairleigh Dickinson University
APACE PACKAGING  LLC,APACE PACKAGING  LLC
9271,University Of Oregon
CARACO PHARMACEUTICAL LABORATORIES LTD,CARACO PHARMACEUTICAL LABORATORIES LTD
XTTRIUM LABORATORIES  INC.,XTTRIUM LABORATORIES  INC.
9281,University Of Minnesota
ADVANCIS PHARMACEUTICAL CORPORATION,ADVANCIS PHARMACEUTICAL CORPORATION
BARR LABORATORIES INC.,BARR LABORATORIES INC.
4147,Coastal Carolina University
9744,University Corp For Atmospheric Research
DEY LABORATORIES,DEY LABORATORIES
ASSOC0040,American College of Preventive Medicine
Bristol-Myers Squibb,Bristol-Myers Squibb
GLAXO WELLCOME INC.,GLAXO WELLCOME INC.
ASSOC0056,American Society of Cataract and Refractive Surgery
7753,New York Medical College
4567,Johannes-Gutenberg University
RISING PHARMACEUTICALS,RISING PHARMACEUTICALS
ASSOC0008,American Academy of Ophthalmology
8588,Hunter College
9627,University Of Texas-San Antonio
SHERWOOD MEDICAL,SHERWOOD MEDICAL
DAVA PHARMACEUTICALS  INC,DAVA PHARMACEUTICALS  INC
SCHWARZ PHARMA MANUFACTURING,SCHWARZ PHARMA MANUFACTURING
9340,Yale University
MERCK SCHERING PLOUGH PHARMACEUTICALS,MERCK SCHERING PLOUGH PHARMACEUTICALS
282,University Navstar Consortium
9746,University Of Georgia
Wyeth Pharmaceuticals,Wyeth Pharmaceuticals
V8RR,University Of Lagos  Nigeria
MCNEIL PHARMACEUTICAL,MCNEIL PHARMACEUTICAL
PADDOCK LABORATORIES  INC.,PADDOCK LABORATORIES  INC.
ASSOC0051,American Society for Dermatologic Surgery
BERLEX LABORATORIES  INC. ,BERLEX LABORATORIES  INC. 
AMEDRA PHARMACEUTICALS,AMEDRA PHARMACEUTICALS
9287,Virginia Commonwealth University
Department of Human Services,Department of Human Services
ASSOC0001,American Medical Association 
PHARMACEUTICAL ASSOCIATES  INC.,PHARMACEUTICAL ASSOCIATES  INC.
Genome Center,Genome Center
ROUSES POINT PHARMACEUTICALS LLC,ROUSES POINT PHARMACEUTICALS LLC
MIKART INC.,MIKART INC.
UCB PHARMA,UCB PHARMA
PDRX PHARMACEUTICAL,PDRX PHARMACEUTICAL
GENERAMEDIX  INC.,GENERAMEDIX  INC.
ANCHEN PHARMACEUTICALS  INC.,ANCHEN PHARMACEUTICALS  INC.
COREPHARMA  INC.,COREPHARMA  INC.
Research Pharmacy,Research Pharmacy
Knoll Pharmaceutical Company,Knoll Pharmaceutical Company
ISTA PHARMACEUTICALS,ISTA PHARMACEUTICALS
V8ZG,University Of Wisconsin System
BRECKENRIDGE INC.,BRECKENRIDGE INC.
ASSOC0073,National Hemophilia Foundation
ASSOC0018,American Board of Emergency Medicine
8329,Cornell University
NOSTRUM LABORATORIES  INC.,NOSTRUM LABORATORIES  INC.
ASSOC0041,American College of Radiology
SCHERING CORPORATION,SCHERING CORPORATION
STIEFEL LABORATORIES,STIEFEL LABORATORIES
9184,University Of Miami
Jonst Cancer Institute,Jonst Cancer Institute
7058,New Mexico State University
College of Veterinary Medicine,College of Veterinary Medicine
ASSOC0085,Society of Cardiovascular & Interventional Radiology
Abbott Laboratories,Abbott Laboratories
MARATHON PHARMACEUTICALS,MARATHON PHARMACEUTICALS
270,Tuskegee University
FC03,University Of The State Of New York  The (Usny)
7775,Northridge Hospital Medical Center
ASSOC0043,American College of Surgeons
Office of Intellectual Property,Office of Intellectual Property
AACN,American Academy of Critical Care Nurses
FOREST PHARMACEUTICALS INC,FOREST PHARMACEUTICALS INC
496,Fresno Pacific University
Hart Biometrics Institute,Hart Biometrics Institute
Huron Consulting  Inc.,Huron Consulting  Inc.
Hematology,Hematology
GALDERMA LABORATORIES  INC.,GALDERMA LABORATORIES  INC.
ASSOC0080,National Institute of Diabetes & Digestive & Kidney Diseases
8529,Georgia State University
NASA,NASA
ASSOC0014,American Association of Colleges of Osteopathic Medicine
9715,University Technology Transfer Incorporated
Grants and Contracts Administration,Grants and Contracts Admin
ALLERGAN INC,ALLERGAN INC
TORRENT PHARMACEUTICALS,TORRENT PHARMACEUTICALS
ASCEND LABORATORIES  LLC.,ASCEND LABORATORIES  LLC.
9490,Ralph K. Davies Medical Center
7660,Saddleback College
GRACEWAY PHARMACETICALS,GRACEWAY PHARMACETICALS
ASSOC0061,American Thoracic Society
FDED,University Of Texas-M.D. Anderson Cancer Center 
BAXTER HEALTHCARE CORPORATION,BAXTER HEALTHCARE CORPORATION
9062,Rutgers University
ACME Pharma  LLC,ACME Pharma  LLC
9276,University Of Tennessee
Lonza,Lonza Group
5968,University Of South Dakota
693,University Of New Orleans
ASSOC0017,American Board of Allergy & Immunology
MUTUAL PHARMACEUTICAL COMPANY,MUTUAL PHARMACEUTICAL COMPANY
V98M,Lahey Clinic Medical Center
Mayo Clinic,Mayo Clinic
COLGATE ORAL PHARMACEUTICALS,COLGATE ORAL PHARMACEUTICALS
