studyID,role,personID
IRB00000026,Co-Investigator,1bhew7uu
IRB00000042,Co-Investigator,vhlsm5wv
IRB00000042,Research Assistant,vhlsm5wv
IRB00000042,Data Analyst,vhlsm5wv
IRB00000042,Statistician,vhlsm5wv
STUDY00000040,Co-Investigator,vhlsm5wv
STUDY00000040,Research Assistant,vhlsm5wv
STUDY00000040,Data Analyst,vhlsm5wv
STUDY00000040,Statistician,vhlsm5wv
IRB00000056,Co-Investigator,vhlsm5wv
IRB00000056,Data Analyst,vhlsm5wv
IRB00000134,Data Analyst,6zpiwjuz
STUDY00000110,Data Analyst,6zpiwjuz
IRB00000014,Co-Investigator,d6rhdbli
STUDY00000044,Co-Investigator,d6rhdbli
IRB00000016,Clinical Coordinator,d6rhdbli
STUDY00000008,Clinical Coordinator,d6rhdbli
IRB00000046,Co-Investigator,d6rhdbli
STUDY00000013,Data Analyst,8qauswya
STUDY00000113,Clinical Coordinator,coord
IRB00000026,Research Assistant,coord
IRB00000097,Clinical Coordinator,coord
STUDY00000015,Research Assistant,coord
STUDY00000082,Clinical Coordinator,coord
IRB00000106,Clinical Coordinator,coord
IRB00000145,Clinical Coordinator,coord
STUDY00000121,Clinical Coordinator,coord
STUDY00000100,Clinical Coordinator,coord
IRB00000054,Research Assistant,coord
STUDY00000046,Clinical Coordinator,coord
STUDY00000080,Clinical Coordinator,coord
STUDY00000028,Clinical Coordinator,coord
STUDY00000003,Research Assistant,coord
STUDY00000003,Administrative Support,coord
STUDY00000084,Clinical Coordinator,coord
STUDY00000068,Clinical Coordinator,coord
STUDY00000035,Clinical Coordinator,coord
STUDY00000029,Research Assistant,coord
STUDY00000085,Clinical Coordinator,coord
STUDY00000055,Research Assistant,coord
STUDY00000095,Clinical Coordinator,coord
STUDY00000104,Clinical Coordinator,coord
STUDY00000025,Research Assistant,coord
STUDY00000108,Clinical Coordinator,coord
STUDY00000056,Research Assistant,coord
STUDY00000061,Clinical Coordinator,coord
STUDY00000011,Research Assistant,coord
STUDY00000011,Statistician,coord
STUDY00000119,Clinical Coordinator,coord
STUDY00000058,Clinical Coordinator,coord
STUDY00000066,Clinical Coordinator,coord
STUDY00000007,Research Assistant,coord
STUDY00000059,Clinical Coordinator,coord
STUDY00000115,Clinical Coordinator,coord
IRB00000064,Clinical Coordinator,coord
IRB00000066,Clinical Coordinator,coord
IRB00000093,Clinical Coordinator,coord
STUDY00000023,Research Assistant,coord
IRB00000103,Research Assistant,coord
STUDY00000009,Research Assistant,coord
STUDY00000069,Clinical Coordinator,coord
IRB00000002,Research Assistant,coord
STUDY00000099,Clinical Coordinator,coord
IRB00000046,Clinical Coordinator,coord
IRB00000126,Clinical Coordinator,coord
STUDY00000016,Research Assistant,coord
STUDY00000037,Co-Investigator,coord
STUDY00000030,Research Assistant,coord
STUDY00000030,Statistician,coord
STUDY00000117,Clinical Coordinator,coord
IRB00000049,Clinical Coordinator,coord
STUDY00000111,Clinical Coordinator,coord
STUDY00000044,Clinical Coordinator,coord
STUDY00000070,Clinical Coordinator,coord
STUDY00000062,Clinical Coordinator,coord
STUDY00000050,Clinical Coordinator,coord
IRB00000146,Clinical Coordinator,coord
STUDY00000101,Clinical Coordinator,coord
STUDY00000088,Clinical Coordinator,coord
STUDY00000091,Clinical Coordinator,coord
STUDY00000052,Clinical Coordinator,coord
STUDY00000053,Research Assistant,coord
STUDY00000053,Data Analyst,coord
IRB00000059,Clinical Coordinator,coord
STUDY00000103,Clinical Coordinator,coord
IRB00000013,Research Assistant,coord
IRB00000056,Research Assistant,coord
STUDY00000001,Research Assistant,coord
STUDY00000057,Research Assistant,coord
IRB00000007,Research Assistant,coord
IRB00000031,Research Assistant,coord
STUDY00000036,Clinical Coordinator,coord
STUDY00000114,Clinical Coordinator,coord
IRB00000038,Clinical Coordinator,coord
STUDY00000110,Clinical Coordinator,coord
IRB00000044,Clinical Coordinator,coord
STUDY00000034,Clinical Coordinator,coord
STUDY00000075,Clinical Coordinator,coord
STUDY00000021,Research Assistant,coord
STUDY00000004,Research Assistant,coord
SITE00000002,Research Assistant,coord
STUDY00000107,Clinical Coordinator,coord
STUDY00000040,Clinical Coordinator,coord
STUDY00000072,Clinical Coordinator,coord
STUDY00000076,Clinical Coordinator,coord
STUDY00000081,Clinical Coordinator,coord
STUDY00000026,Research Assistant,coord
STUDY00000042,Clinical Coordinator,coord
STUDY00000089,Clinical Coordinator,coord
STUDY00000106,Clinical Coordinator,coord
STUDY00000041,Clinical Coordinator,coord
STUDY00000047,Clinical Coordinator,coord
IRB00000062,Clinical Coordinator,coord
IRB00000015,Research Assistant,coord
STUDY00000086,Clinical Coordinator,coord
IRB00000074,Clinical Coordinator,coord
IRB00000111,Clinical Coordinator,coord
IRB00000150,Clinical Coordinator,coord
STUDY00000093,Clinical Coordinator,coord
STUDY00000120,Clinical Coordinator,coord
IRB00000089,Clinical Coordinator,coord
STUDY00000097,Clinical Coordinator,coord
STUDY00000039,Clinical Coordinator,coord
STUDY00000010,Research Assistant,coord
IRB00000008,Research Assistant,coord
IRB00000040,Clinical Coordinator,coord
STUDY00000024,Research Assistant,coord
IRB00000039,Research Assistant,coord
